,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
3929,OGLE-2013-BLG-0102L b,9916.0,12.569 Jupiters,,2014,Gas Giant,1.1 x Jupiter,0.8 AU,2.3 years,0.0
3930,OGLE-2013-BLG-0132L b,12722.0,0.29 Jupiters,,2017,Gas Giant,1.04 x Jupiter,3.6 AU,9.3 years,0.0
3931,OGLE-2013-BLG-0341L B b,3787.0,1.66 Earths,,2014,Super Earth,1.16 x Earth,0.702 AU,1.5 years,0.0
3932,OGLE-2013-BLG-0911L b,10504.0,9.51 Jupiters,,2019,Gas Giant,1.12 x Jupiter,0.39 AU,165.2 days,0.0
3933,OGLE-2013-BLG-1721L b,20551.0,0.64 Jupiters,,2017,Gas Giant,1.26 x Jupiter,2.6 AU,6.2 years,0.0
3934,OGLE-2013-BLG-1761L b,22508.0,2.7 Jupiters,,2018,Gas Giant,1.18 x Jupiter,1.8 AU,4.2 years,0.0
3935,OGLE-2014-BLG-0124L b,13374.0,0.51 Jupiters,,2015,Gas Giant,1.27 x Jupiter,3.11 AU,6.5 years,0.0
3936,OGLE-2014-BLG-0676L b,7242.0,3.09 Jupiters,,2016,Gas Giant,1.17 x Jupiter,4.4 AU,11.7 years,0.0
3937,OGLE-2014-BLG-1722L b,20877.0,0.17399 Jupiters,,2018,Gas Giant,0.766 x Jupiter,1.9 AU,4.1 years,0.0
3938,OGLE-2014-BLG-1722L c,20877.0,0.26335 Jupiters,,2018,Gas Giant,0.978 x Jupiter,2.5 AU,6.3 years,0.0
3939,OGLE-2014-BLG-1760L b,22377.0,0.56 Jupiters,,2016,Gas Giant,1.26 x Jupiter,1.75 AU,3.2 years,0.0
3940,OGLE-2015-BLG-0051L b,26748.0,0.72 Jupiters,,2016,Gas Giant,1.25 x Jupiter,0.73 AU,2 years,0.0
3941,OGLE-2015-BLG-0954L b,1957.0,3.4 Jupiters,,2016,Gas Giant,1.17 x Jupiter,1.6 AU,3.7 years,0.0
3942,OGLE-2015-BLG-0966L b,8155.0,21 Earths,,2016,Neptune-like,0.433 x Jupiter,2.1 AU,4.9 years,0.0
3943,OGLE-2015-BLG-1649L b,13798.0,2.54 Jupiters,,2019,Gas Giant,1.18 x Jupiter,2.07 AU,5.1 years,0.0
3944,OGLE-2015-BLG-1670L b,21855.0,17.9 Earths,,2019,Neptune-like,0.394 x Jupiter,2.62 AU,5.7 years,0.0
3945,OGLE-2015-BLG-1771L b,23062.0,0.433 Jupiters,,2020,Gas Giant,1.28 x Jupiter,0.85 AU,2.8 years,0.0
3946,OGLE-2016-BLG-0263L b,21203.0,4.1 Jupiters,,2017,Gas Giant,1.16 x Jupiter,5.4 AU,34.8 years,0.0
3947,OGLE-2016-BLG-0613L AB b,11123.0,4.18 Jupiters,,2017,Gas Giant,1.16 x Jupiter,6.4 AU,19.1 years,0.0
3948,OGLE-2016-BLG-1067L b,12167.0,0.43 Jupiters,,2019,Gas Giant,1.28 x Jupiter,1.7 AU,4 years,0.0
3949,OGLE-2016-BLG-1190L b,22084.0,13.38 Jupiters,,2017,Gas Giant,1.1 x Jupiter,2.17 AU,3.4 years,0.0
